Date,meter_id,building_id,Unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
"August 1, 2011",0028931680_03,9575_Partners_LLC,KW,263.376,263.376,257.76,257.76,259.488,259.488,257.184,257.184,254.592,254.592,251.712,251.712,251.424,251.424,245.808,245.808,248.544,248.544,243.36,243.36,240.48,240.48,229.248,229.248,237.888,237.888,245.52,245.52,263.376,263.376,285.696,285.696,303.408,303.408,283.104,283.104,342.288,342.288,353.376,353.376,373.248,373.248,378.72,378.72,383.328,383.328,388.512,388.512,384.048,384.048,381.024,381.024,391.104,391.104,405.648,405.648,409.104,409.104,411.552,411.552,406.224,406.224,406.944,406.944,395.424,395.424,380.736,380.736,355.824,355.824,336.24,336.24,319.68,319.68,306.144,306.144,305.712,305.712,300.96,300.96,305.712,305.712,305.568,305.568,302.688,302.688,294.912,294.912,293.472,293.472,294.48,294.48,286.992,286.992,285.264,285.264
"August 2, 2011",0028931680_03,9575_Partners_LLC,KW,282.672,282.672,277.2,277.2,274.032,274.032,269.712,269.712,273.024,273.024,266.4,266.4,265.248,265.248,261.072,261.072,259.92,259.92,259.2,259.2,259.344,259.344,255.744,255.744,252.288,252.288,260.496,260.496,274.032,274.032,281.232,281.232,311.616,311.616,332.496,332.496,348.768,348.768,354.096,354.096,367.2,367.2,374.976,374.976,381.6,381.6,380.592,380.592,380.16,380.16,386.352,386.352,382.176,382.176,391.392,391.392,405.936,405.936,410.112,410.112,415.44,415.44,420.912,420.912,410.832,410.832,387.36,387.36,372.528,372.528,361.008,361.008,337.392,337.392,325.152,325.152,317.664,317.664,294.768,294.768,295.344,295.344,307.584,307.584,305.28,305.28,288,288,282.672,282.672,278.928,278.928,272.16,272.16,270.576,270.576
"August 3, 2011",0028931680_03,9575_Partners_LLC,KW,262.8,262.8,259.344,259.344,253.008,253.008,252.288,252.288,248.544,248.544,250.56,250.56,247.104,247.104,242.352,242.352,243.36,243.36,240.624,240.624,242.064,242.064,238.32,238.32,233.856,233.856,246.096,246.096,260.064,260.064,276.912,276.912,285.696,285.696,298.512,298.512,310.32,310.32,321.408,321.408,323.28,323.28,330.336,330.336,336.96,336.96,340.848,340.848,343.44,343.44,343.296,343.296,351.936,351.936,357.408,357.408,366.48,366.48,375.12,375.12,374.256,374.256,372.096,372.096,362.736,362.736,349.632,349.632,334.8,334.8,325.008,325.008,306.288,306.288,303.12,303.12,293.328,293.328,284.256,284.256,277.776,277.776,279.504,279.504,276.336,276.336,269.136,269.136,263.232,263.232,258.624,258.624,255.456,255.456,253.872,253.872
"August 4, 2011",0028931680_03,9575_Partners_LLC,KW,252.576,252.576,242.928,242.928,239.184,239.184,240.912,240.912,237.456,237.456,236.592,236.592,230.688,230.688,229.104,229.104,224.928,224.928,216.72,216.72,211.68,211.68,203.328,203.328,209.808,209.808,222.048,222.048,235.296,235.296,251.28,251.28,282.96,282.96,307.152,307.152,317.52,317.52,316.8,316.8,319.536,319.536,322.128,322.128,325.152,325.152,328.896,328.896,333.072,333.072,335.808,335.808,331.488,331.488,350.064,350.064,353.952,353.952,357.984,357.984,356.112,356.112,357.84,357.84,359.712,359.712,337.104,337.104,314.496,314.496,301.536,301.536,291.6,291.6,287.28,287.28,275.904,275.904,266.976,266.976,259.488,259.488,265.68,265.68,262.8,262.8,259.488,259.488,253.872,253.872,253.152,253.152,248.832,248.832,242.208,242.208
"August 5, 2011",0028931680_03,9575_Partners_LLC,KW,241.2,241.2,242.496,242.496,238.464,238.464,237.312,237.312,238.608,238.608,234.576,234.576,231.408,231.408,226.8,226.8,223.632,223.632,219.888,219.888,222.336,222.336,208.512,208.512,206.208,206.208,219.312,219.312,229.536,229.536,246.96,246.96,267.984,267.984,283.68,283.68,285.552,285.552,302.544,302.544,307.296,307.296,321.12,321.12,322.56,322.56,323.424,323.424,325.584,325.584,327.024,327.024,323.28,323.28,322.128,322.128,318.672,318.672,316.8,316.8,317.232,317.232,322.416,322.416,317.52,317.52,308.016,308.016,298.368,298.368,286.704,286.704,276.336,276.336,269.28,269.28,262.656,262.656,258.912,258.912,258.624,258.624,261.072,261.072,254.592,254.592,258.192,258.192,252.288,252.288,251.136,251.136,249.552,249.552,247.68,247.68
"August 6, 2011",0028931680_03,9575_Partners_LLC,KW,246.816,246.816,246.528,246.528,250.272,250.272,251.856,251.856,251.856,251.856,247.104,247.104,245.52,245.52,248.256,248.256,251.856,251.856,249.264,249.264,247.68,247.68,248.4,248.4,232.272,232.272,231.408,231.408,227.664,227.664,231.264,231.264,220.176,220.176,218.592,218.592,217.44,217.44,222.192,222.192,219.744,219.744,222.768,222.768,231.984,231.984,243.072,243.072,245.808,245.808,248.544,248.544,249.12,249.12,259.92,259.92,256.032,256.032,256.752,256.752,254.304,254.304,251.856,251.856,250.848,250.848,245.088,245.088,242.496,242.496,243.36,243.36,248.688,248.688,256.032,256.032,252.432,252.432,244.8,244.8,243.936,243.936,242.784,242.784,240.336,240.336,240.624,240.624,239.76,239.76,239.328,239.328,239.328,239.328,236.448,236.448
"August 7, 2011",0028931680_03,9575_Partners_LLC,KW,239.184,239.184,233.568,233.568,232.848,232.848,226.944,226.944,216.288,216.288,219.312,219.312,220.176,220.176,222.048,222.048,222.336,222.336,226.368,226.368,223.2,223.2,216.432,216.432,210.096,210.096,206.784,206.784,209.232,209.232,209.376,209.376,207.216,207.216,213.696,213.696,220.608,220.608,206.496,206.496,207.216,207.216,206.496,206.496,218.016,218.016,221.616,221.616,227.088,227.088,231.984,231.984,243.216,243.216,246.096,246.096,250.272,250.272,254.016,254.016,261.648,261.648,263.52,263.52,266.256,266.256,260.208,260.208,246.384,246.384,228.816,228.816,230.544,230.544,228.816,228.816,230.112,230.112,222.336,222.336,223.92,223.92,230.976,230.976,234.432,234.432,231.408,231.408,227.232,227.232,213.408,213.408,218.304,218.304,219.168,219.168
"August 8, 2011",0028931680_03,9575_Partners_LLC,KW,217.728,217.728,218.16,218.16,214.992,214.992,219.456,219.456,222.48,222.48,215.712,215.712,216,216,214.704,214.704,212.4,212.4,212.688,212.688,210.24,210.24,198.864,198.864,211.104,211.104,214.128,214.128,224.352,224.352,238.32,238.32,260.208,260.208,271.44,271.44,296.352,296.352,304.704,304.704,310.752,310.752,320.4,320.4,321.264,321.264,320.688,320.688,320.832,320.832,317.376,317.376,317.808,317.808,325.296,325.296,329.184,329.184,333.216,333.216,321.984,321.984,308.016,308.016,285.264,285.264,272.16,272.16,261.072,261.072,254.448,254.448,247.968,247.968,246.096,246.096,246.816,246.816,244.512,244.512,248.4,248.4,255.888,255.888,252.432,252.432,249.552,249.552,250.56,250.56,245.232,245.232,233.424,233.424,229.968,229.968
"August 9, 2011",0028931680_03,9575_Partners_LLC,KW,222.336,222.336,219.744,219.744,218.16,218.16,216.432,216.432,212.112,212.112,210.96,210.96,210.24,210.24,211.104,211.104,206.208,206.208,208.8,208.8,209.088,209.088,198.432,198.432,200.016,200.016,207.792,207.792,213.84,213.84,230.832,230.832,249.552,249.552,260.064,260.064,283.392,283.392,286.272,286.272,299.664,299.664,303.696,303.696,314.064,314.064,312.192,312.192,316.512,316.512,320.112,320.112,324.576,324.576,314.784,314.784,314.928,314.928,316.8,316.8,316.944,316.944,318.96,318.96,311.184,311.184,304.272,304.272,288.288,288.288,277.776,277.776,269.568,269.568,264.96,264.96,258.768,258.768,252,252,249.84,249.84,247.824,247.824,247.824,247.824,253.872,253.872,247.392,247.392,247.824,247.824,242.064,242.064,237.888,237.888
"August 10, 2011",0028931680_03,9575_Partners_LLC,KW,238.752,238.752,236.16,236.16,223.056,223.056,212.544,212.544,218.448,218.448,211.104,211.104,213.12,213.12,211.104,211.104,211.392,211.392,207.648,207.648,206.208,206.208,203.76,203.76,205.056,205.056,212.832,212.832,210.816,210.816,229.104,229.104,242.352,242.352,249.408,249.408,257.904,257.904,269.856,269.856,282.096,282.096,282.528,282.528,286.848,286.848,291.168,291.168,290.736,290.736,291.744,291.744,295.056,295.056,298.224,298.224,300.816,300.816,301.68,301.68,300.528,300.528,303.408,303.408,303.264,303.264,294.912,294.912,283.392,283.392,263.088,263.088,261.504,261.504,256.752,256.752,251.28,251.28,248.976,248.976,236.88,236.88,243.072,243.072,234,234,230.112,230.112,223.632,223.632,210.384,210.384,216.144,216.144,210.672,210.672
