Date,Unit,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
06/11/2011,KW,66.51,65.88,72.27,66.6,67.5,65.34,67.05,65.7,66.87,66.15,68.49,70.11,69.75,69.12,69.93,71.19,67.86,67.23,66.42,67.59,71.82,78.48,74.52,72.45,60.84,61.65,63.09,61.56,60.57,63.9,62.82,63,61.2,62.19,60.03,63,64.98,62.37,61.92,63,62.01,59.94,61.74,62.55,60.93,60.84,61.38,62.64,61.2,61.02,65.25,61.74,62.1,60.57,62.37,63.27,62.82,62.37,61.92,61.2,61.47,62.1,63.36,67.95,68.94,62.73,62.19,61.65,67.23,67.41,68.58,62.19,63.63,63.36,63.36,63.27,64.44,64.17,61.83,62.64,68.04,73.71,75.06,74.7,74.34,76.05,72.72,74.61,73.62,76.14,79.56,75.15,76.41,75.33,71.82,67.86
06/12/2011,KW,99.09,98.46,96.03,96.12,95.67,96.3,97.11,98.55,97.74,99.36,98.82,99.81,99.36,100.35,99.54,99.99,97.2,95.13,95.67,95.58,96.48,97.11,97.56,99.09,98.37,97.92,95.58,95.67,92.61,92.97,92.88,93.33,93.78,93.42,92.52,91.53,94.23,90.81,90.72,89.73,91.26,91.98,91.08,91.71,90.99,89.64,91.35,89.73,92.61,92.52,91.44,93.6,93.51,91.98,91.89,91.8,93.06,92.43,91.98,91.8,91.71,93.51,93.78,94.05,93.24,92.97,92.88,92.25,95.22,94.95,94.68,92.52,92.61,93.69,92.52,92.79,90.27,92.43,91.44,91.71,90.72,94.59,94.32,93.06,94.05,95.67,96.75,96.21,97.92,98.19,98.64,95.22,94.05,98.19,98.28,96.12
06/13/2011,KW,95.67,98.1,96.48,98.82,96.57,96.93,96.12,97.02,97.74,97.92,97.92,97.56,98.28,98.73,97.83,97.2,98.28,98.19,98.28,97.83,95.76,96.66,96.3,99.18,97.29,97.2,102.15,128.16,145.35,114.12,107.73,110.61,112.5,126.18,138.06,110.79,117.45,119.34,128.61,146.88,130.59,120.6,120.42,142.02,149.22,121.32,123.21,143.82,174.96,136.71,128.97,140.58,163.08,143.46,164.52,181.8,133.11,141.03,160.38,165.51,142.29,156.78,174.15,136.98,126.99,139.23,151.38,117.99,107.82,144.18,153.45,122.76,108.18,142.02,148.32,108.72,107.46,150.93,137.7,112.95,111.06,121.32,144.09,109.8,105.48,107.19,123.21,139.5,102.87,94.59,95.49,96.03,98.01,98.28,98.19,99.27
06/14/2011,KW,98.82,98.46,98.91,100.35,98.19,96.03,97.2,97.47,97.74,95.4,97.56,96.39,96.3,96.66,96.66,95.85,99.81,100.44,99.18,97.29,98.64,98.55,97.74,98.82,99.09,99.63,114.93,139.59,113.58,110.16,110.88,112.86,120.06,140.22,131.58,121.32,128.52,129.96,163.53,153,125.19,135.09,146.34,162,142.29,143.64,182.61,176.4,152.28,149.67,159.57,197.28,148.05,145.89,156.06,182.79,149.58,157.86,191.34,192.96,151.92,151.11,179.01,155.79,120.15,123.12,157.86,135.99,108.18,123.03,164.7,115.29,107.55,151.11,154.71,125.46,124.2,125.55,141.21,171.81,125.73,123.21,122.22,109.17,105.39,136.8,131.49,109.17,101.88,98.73,97.02,99,99.9,99.27,101.25,99.45
06/15/2011,KW,99.18,99,99.63,100.17,97.74,99.27,100.35,100.98,98.73,96.12,98.73,100.62,97.74,99.81,98.82,97.11,101.07,100.53,99.63,100.08,100.62,99.9,102.96,102.96,99.18,102.69,125.55,151.56,126.9,119.52,116.19,121.86,137.79,125.19,131.85,150.57,151.56,146.43,155.61,163.44,153.09,169.65,163.89,148.32,174.15,176.85,154.08,176.85,186.57,156.51,152.01,186.39,167.13,166.14,178.38,178.74,174.15,169.74,176.04,188.37,173.34,157.68,154.71,169.56,132.12,127.44,143.55,142.38,127.62,111.15,144.54,138.42,109.8,140.58,146.61,114.48,132.39,148.32,108,125.37,148.86,114.66,111.06,120.42,137.43,116.82,116.1,118.62,112.14,101.43,99.72,100.44,99.09,98.64,101.25,101.97
06/16/2011,KW,67.86,69.21,71.01,72.18,71.55,69.66,68.67,70.2,74.16,71.19,72.81,73.17,73.89,72.99,73.53,71.37,73.44,70.47,73.08,72.9,78.75,78.75,82.17,78.39,74.25,73.53,102.42,120.42,108.99,101.25,100.89,103.05,111.15,121.5,112.77,112.41,133.29,135.99,114.39,112.59,115.65,128.61,118.44,136.8,132.84,131.22,131.04,139.77,136.8,136.62,148.95,142.11,136.98,126,149.67,140.67,141.39,170.19,189.18,147.96,158.58,189.54,159.12,122.67,134.28,140.22,140.67,122.49,128.34,136.8,138.33,108,128.61,143.28,121.05,114.3,143.46,132.93,109.44,136.26,124.83,112.86,124.02,142.02,111.87,91.89,114.39,106.29,81.72,78.75,78.57,78.03,77.85,78.66,75.24,70.92
06/17/2011,KW,70.83,70.29,70.56,71.82,69.48,68.85,67.68,71.91,71.46,69.66,72.27,72.81,74.16,74.79,73.26,73.71,75.24,72.36,72.9,72.72,77.94,79.65,81,82.8,72.09,72.9,91.62,117.9,105.21,97.74,99.45,102.78,114.21,108.36,101.7,126.81,124.29,114.03,109.08,114.03,122.13,117.99,152.19,136.71,123.3,121.77,140.76,137.25,121.05,148.05,159.39,148.77,140.76,143.82,152.73,157.86,145.89,146.88,176.4,194.4,170.91,169.29,185.31,145.98,112.14,114.21,125.28,95.67,86.58,104.85,115.47,92.61,101.52,112.14,97.83,87.75,94.68,112.59,87.84,80.73,80.82,103.32,90.9,102.87,105.48,101.25,89.37,100.53,88.74,79.02,77.04,76.95,78.39,80.28,73.8,68.94
06/18/2011,KW,99.9,101.52,101.07,100.8,98.28,98.82,99.54,102.24,101.79,101.61,101.34,102.69,101.43,102.15,100.71,102.06,102.6,102.42,99.63,99.27,97.74,98.28,100.62,103.32,99.72,99.09,95.58,97.29,96.12,95.31,92.97,95.31,96.93,94.77,96.21,94.14,95.04,94.86,94.95,98.28,96.93,95.04,95.31,96.21,94.32,96.03,96.75,96.48,96.12,95.04,94.68,100.44,96.48,96.21,96.84,94.23,97.2,95.85,99.36,97.56,96.39,100.08,96.75,98.28,98.73,99.81,99.54,97.92,102.24,98.73,101.7,99,101.88,100.35,101.25,100.98,95.22,99.81,97.92,102.78,97.92,98.64,103.59,96.84,97.83,98.91,98.82,99.99,101.16,101.7,101.16,100.35,99.54,101.7,101.97,99.27
06/19/2011,KW,102.69,100.26,100.53,103.86,97.2,97.2,99,101.25,102.69,100.26,101.97,100.08,99,100.62,99.81,99.72,101.88,101.52,102.51,102.24,101.34,101.07,103.14,100.98,99.72,96.12,94.77,96.84,94.14,96.75,95.49,95.49,98.28,98.19,96.84,96.12,96.66,96.03,96.21,96.93,96.48,94.77,95.22,97.02,96.93,95.22,95.4,94.32,94.77,94.23,92.79,96.12,95.4,99,98.73,98.64,97.92,97.2,95.22,95.58,95.22,95.85,97.29,98.28,98.1,96.93,97.38,95.31,97.11,95.49,94.95,96.48,96.21,96.21,94.32,97.02,95.85,96.57,98.64,98.46,98.1,100.17,97.47,98.91,99.36,99.99,100.98,98.82,99.36,99.45,101.07,101.52,102.69,102.51,100.08,103.14
06/20/2011,KW,100.98,103.05,100.08,100.17,97.11,100.53,101.07,99.36,99.18,99.09,99.99,100.53,99.36,100.26,100.44,99.9,101.7,101.79,102.69,103.95,103.86,105.03,103.59,102.69,101.7,101.7,127.71,149.85,163.26,153.45,116.64,128.88,173.88,136.8,139.32,195.84,166.32,136.35,158.13,173.34,142.65,147.6,189.81,157.14,157.23,200.34,153.63,154.44,200.34,181.8,149.4,190.53,206.91,152.46,170.1,209.88,181.89,147.69,187.83,206.01,156.96,171.27,179.19,174.6,154.53,143.64,159.3,162.63,154.08,123.3,154.44,164.34,162.09,133.74,141.48,160.65,158.85,121.14,143.64,175.5,134.01,113.04,111.06,150.3,136.44,115.92,114.93,135.36,119.97,102.42,104.58,102.06,102.96,103.14,104.67,102.51
