Date,meter_id,building_id,Unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
"August 11, 2011",0028931680_02,9575_Partners_LLC,KW,88.704,88.704,81.072,81.072,87.624,87.624,87.696,87.696,80.496,80.496,78.624,78.624,92.808,92.808,88.344,88.344,77.688,77.688,80.28,80.28,92.736,92.736,90,90,86.4,86.4,103.608,103.608,119.304,119.304,142.128,142.128,161.064,161.064,177.048,177.048,199.224,199.224,194.4,194.4,193.32,193.32,193.032,193.032,204.264,204.264,201.168,201.168,199.152,199.152,204.264,204.264,198.144,198.144,197.064,197.064,206.136,206.136,202.032,202.032,204.696,204.696,199.008,199.008,195.48,195.48,173.448,173.448,160.848,160.848,154.872,154.872,148.824,148.824,151.488,151.488,154.944,154.944,151.128,151.128,124.776,124.776,124.632,124.632,133.344,133.344,124.848,124.848,122.832,122.832,104.544,104.544,101.232,101.232,101.664,101.664
"August 12, 2011",0028931680_02,9575_Partners_LLC,KW,102.24,102.24,99,99,102.6,102.6,88.992,88.992,85.248,85.248,96.48,96.48,96.624,96.624,97.056,97.056,87.12,87.12,86.544,86.544,92.952,92.952,97.272,97.272,104.184,104.184,105.048,105.048,116.28,116.28,143.136,143.136,173.016,173.016,188.424,188.424,182.736,182.736,183.312,183.312,191.088,191.088,199.656,199.656,200.592,200.592,195.336,195.336,187.272,187.272,185.472,185.472,185.328,185.328,186.912,186.912,180.288,180.288,178.488,178.488,174.96,174.96,175.968,175.968,175.608,175.608,155.232,155.232,144.936,144.936,137.16,137.16,133.704,133.704,129.816,129.816,144.072,144.072,152.856,152.856,133.992,133.992,130.248,130.248,123.552,123.552,116.64,116.64,107.28,107.28,89.28,89.28,104.328,104.328,94.968,94.968
"August 13, 2011",0028931680_02,9575_Partners_LLC,KW,92.952,92.952,81,81,88.2,88.2,85.392,85.392,87.84,87.84,83.016,83.016,91.512,91.512,88.128,88.128,87.696,87.696,97.056,97.056,79.344,79.344,98.712,98.712,86.112,86.112,90.72,90.72,85.824,85.824,91.728,91.728,89.856,89.856,84.816,84.816,95.184,95.184,88.488,88.488,97.128,97.128,96.192,96.192,86.544,86.544,82.512,82.512,85.392,85.392,85.104,85.104,86.328,86.328,84.384,84.384,82.656,82.656,90.648,90.648,89.28,89.28,84.744,84.744,86.904,86.904,78.984,78.984,72.576,72.576,83.304,83.304,95.328,95.328,81.504,81.504,87.984,87.984,96.696,96.696,92.88,92.88,87.264,87.264,90.864,90.864,100.296,100.296,94.248,94.248,90.072,90.072,81.648,81.648,86.04,86.04
"August 14, 2011",0028931680_02,9575_Partners_LLC,KW,87.192,87.192,75.312,75.312,75.384,75.384,85.608,85.608,91.656,91.656,78.552,78.552,80.568,80.568,84.672,84.672,89.28,89.28,80.568,80.568,79.2,79.2,88.344,88.344,85.104,85.104,81.216,81.216,82.368,82.368,93.816,93.816,83.952,83.952,76.032,76.032,84.24,84.24,82.8,82.8,78.84,78.84,86.112,86.112,99.864,99.864,88.272,88.272,83.88,83.88,84.456,84.456,90.432,90.432,84.096,84.096,83.952,83.952,86.76,86.76,85.176,85.176,83.088,83.088,77.688,77.688,78.264,78.264,79.776,79.776,86.4,86.4,82.584,82.584,75.888,75.888,88.128,88.128,78.768,78.768,77.976,77.976,82.656,82.656,90.648,90.648,82.656,82.656,79.488,79.488,89.064,89.064,80.712,80.712,77.112,77.112
"August 15, 2011",0028931680_02,9575_Partners_LLC,KW,83.736,83.736,89.856,89.856,79.92,79.92,78.48,78.48,95.4,95.4,82.008,82.008,81.432,81.432,93.528,93.528,87.552,87.552,86.256,86.256,94.248,94.248,94.032,94.032,105.768,105.768,122.112,122.112,122.04,122.04,137.952,137.952,174.816,174.816,181.944,181.944,191.232,191.232,201.456,201.456,205.632,205.632,198.288,198.288,199.008,199.008,196.992,196.992,202.104,202.104,208.08,208.08,198.216,198.216,204.624,204.624,205.488,205.488,198.648,198.648,209.088,209.088,197.568,197.568,185.472,185.472,183.816,183.816,167.328,167.328,156.96,156.96,163.656,163.656,146.808,146.808,157.68,157.68,166.824,166.824,144,144,131.184,131.184,141.408,141.408,128.88,128.88,122.904,122.904,113.256,113.256,97.416,97.416,104.112,104.112
"August 16, 2011",0028931680_02,9575_Partners_LLC,KW,93.384,93.384,95.4,95.4,84.096,84.096,75.456,75.456,89.712,89.712,79.848,79.848,88.344,88.344,77.832,77.832,76.824,76.824,88.704,88.704,77.76,77.76,90.864,90.864,87.12,87.12,104.04,104.04,109.872,109.872,130.608,130.608,174.96,174.96,173.016,173.016,194.616,194.616,196.416,196.416,191.952,191.952,189.144,189.144,194.04,194.04,191.232,191.232,193.536,193.536,191.088,191.088,195.768,195.768,192.096,192.096,206.496,206.496,196.056,196.056,192.528,192.528,192.96,192.96,188.064,188.064,172.152,172.152,168.84,168.84,169.416,169.416,147.816,147.816,145.008,145.008,144.504,144.504,146.016,146.016,138.312,138.312,124.488,124.488,122.328,122.328,128.448,128.448,112.032,112.032,107.496,107.496,107.352,107.352,106.416,106.416
"August 17, 2011",0028931680_02,9575_Partners_LLC,KW,85.968,85.968,93.168,93.168,103.248,103.248,85.896,85.896,94.536,94.536,98.136,98.136,79.632,79.632,84.312,84.312,91.08,91.08,80.64,80.64,86.112,86.112,88.272,88.272,90.36,90.36,114.84,114.84,116.208,116.208,135.144,135.144,176.04,176.04,185.256,185.256,189.432,189.432,200.88,200.88,201.024,201.024,192.6,192.6,192.744,192.744,193.104,193.104,201.888,201.888,188.64,188.64,191.232,191.232,190.152,190.152,187.848,187.848,184.752,184.752,188.208,188.208,187.2,187.2,191.592,191.592,174.024,174.024,162.648,162.648,150.336,150.336,144.504,144.504,142.128,142.128,153.36,153.36,152.712,152.712,138.312,138.312,129.744,129.744,129.096,129.096,141.768,141.768,111.816,111.816,95.472,95.472,92.592,92.592,93.816,93.816
"August 18, 2011",0028931680_02,9575_Partners_LLC,KW,86.544,86.544,73.656,73.656,74.016,74.016,78.624,78.624,92.592,92.592,83.304,83.304,81.864,81.864,88.416,88.416,88.992,88.992,87.048,87.048,89.928,89.928,97.848,97.848,105.192,105.192,116.28,116.28,129.744,129.744,139.608,139.608,163.8,163.8,189.072,189.072,190.224,190.224,193.176,193.176,201.672,201.672,202.248,202.248,192.888,192.888,192.024,192.024,192.744,192.744,201.024,201.024,201.024,201.024,192.096,192.096,189.72,189.72,186.912,186.912,199.08,199.08,184.392,184.392,182.232,182.232,173.232,173.232,156.96,156.96,149.616,149.616,148.464,148.464,139.824,139.824,143.136,143.136,146.736,146.736,140.184,140.184,118.296,118.296,117.576,117.576,118.944,118.944,110.88,110.88,93.312,93.312,93.24,93.24,98.856,98.856
"August 19, 2011",0028931680_02,9575_Partners_LLC,KW,88.2,88.2,79.992,79.992,89.208,89.208,87.912,87.912,81.576,81.576,92.016,92.016,83.448,83.448,82.296,82.296,89.28,89.28,76.32,76.32,74.304,74.304,92.16,92.16,86.112,86.112,100.728,100.728,125.064,125.064,131.616,131.616,161.208,161.208,182.808,182.808,180.432,180.432,180.936,180.936,186.48,186.48,183.168,183.168,187.2,187.2,182.448,182.448,184.968,184.968,183.168,183.168,185.544,185.544,181.512,181.512,182.592,182.592,178.488,178.488,176.688,176.688,172.8,172.8,169.848,169.848,150.768,150.768,144.576,144.576,135.576,135.576,132.912,132.912,131.976,131.976,134.568,134.568,136.008,136.008,122.544,122.544,121.176,121.176,125.568,125.568,124.632,124.632,102.096,102.096,91.224,91.224,89.784,89.784,83.16,83.16
"August 20, 2011",0028931680_02,9575_Partners_LLC,KW,82.512,82.512,80.712,80.712,69.264,69.264,74.592,74.592,71.64,71.64,71.712,71.712,81.504,81.504,82.224,82.224,81.792,81.792,95.832,95.832,86.976,86.976,80.208,80.208,78.336,78.336,82.296,82.296,80.208,80.208,92.232,92.232,96.912,96.912,97.272,97.272,95.76,95.76,97.416,97.416,99.504,99.504,95.904,95.904,88.632,88.632,90,90,104.184,104.184,92.448,92.448,81.936,81.936,75.6,75.6,76.176,76.176,78.408,78.408,76.896,76.896,77.76,77.76,79.848,79.848,79.128,79.128,77.04,77.04,78.552,78.552,76.824,76.824,86.328,86.328,84.96,84.96,84.384,84.384,82.728,82.728,82.224,82.224,86.4,86.4,98.352,98.352,87.912,87.912,80.784,80.784,87.552,87.552,86.544,86.544
