Date,Unit,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
10/20/2011,KW,18.792,18.792,17.928,17.928,17.928,17.928,18.792,18.792,20.736,20.736,19.224,19.224,17.928,17.928,17.928,17.928,18.576,18.576,19.008,19.008,19.008,19.008,18.36,18.36,20.304,20.304,23.76,23.76,60.264,60.264,60.264,60.264,61.992,61.992,61.992,61.992,49.248,49.248,41.688,41.688,44.064,44.064,43.416,43.416,40.824,40.824,42.336,42.336,41.904,41.904,43.416,43.416,43.848,43.848,41.472,41.472,41.904,41.904,44.064,44.064,46.44,46.44,44.928,44.928,64.152,64.152,65.664,65.664,63.72,63.72,64.584,64.584,67.176,67.176,65.88,65.88,63.504,63.504,64.8,64.8,63.288,63.288,65.448,65.448,64.8,64.8,65.016,65.016,60.48,60.48,52.056,52.056,19.008,19.008,18.36,18.36
10/21/2011,KW,18.36,18.36,17.928,17.928,18.144,18.144,18.576,18.576,20.52,20.52,19.008,19.008,18.792,18.792,17.928,17.928,17.928,17.928,19.008,19.008,18.144,18.144,18.576,18.576,18.36,18.36,21.384,21.384,55.944,55.944,38.448,38.448,39.744,39.744,42.12,42.12,40.824,40.824,40.608,40.608,42.768,42.768,43.2,43.2,40.392,40.392,41.472,41.472,42.768,42.768,43.632,43.632,43.848,43.848,47.952,47.952,44.928,44.928,46.656,46.656,46.008,46.008,46.44,46.44,46.656,46.656,46.656,46.656,44.496,44.496,59.4,59.4,67.824,67.824,67.392,67.392,65.016,65.016,65.448,65.448,65.664,65.664,67.176,67.176,66.312,66.312,65.016,65.016,61.128,61.128,59.4,59.4,28.728,28.728,18.144,18.144
10/22/2011,KW,18.36,18.36,17.712,17.712,18.36,18.36,18.576,18.576,20.736,20.736,19.008,19.008,18.792,18.792,17.928,17.928,17.712,17.712,19.008,19.008,18.36,18.36,18.576,18.576,18.576,18.576,22.896,22.896,23.328,23.328,21.168,21.168,37.368,37.368,38.448,38.448,40.608,40.608,39.96,39.96,42.552,42.552,44.712,44.712,43.848,43.848,44.496,44.496,44.28,44.28,45.36,45.36,51.408,51.408,47.52,47.52,51.192,51.192,47.304,47.304,49.464,49.464,47.952,47.952,50.976,50.976,46.872,46.872,46.656,46.656,67.392,67.392,67.608,67.608,66.096,66.096,64.152,64.152,64.152,64.152,65.232,65.232,65.88,65.88,65.88,65.88,63.288,63.288,63.72,63.72,62.64,62.64,29.376,29.376,22.032,22.032
10/23/2011,KW,19.872,19.872,18.792,18.792,19.224,19.224,19.224,19.224,21.168,21.168,20.736,20.736,19.008,19.008,18.792,18.792,18.792,18.792,20.52,20.52,18.36,18.36,19.008,19.008,19.44,19.44,20.304,20.304,22.248,22.248,21.816,21.816,37.368,37.368,38.664,38.664,39.744,39.744,40.608,40.608,48.816,48.816,46.872,46.872,41.904,41.904,44.064,44.064,44.928,44.928,52.704,52.704,47.952,47.952,48.816,48.816,48.816,48.816,49.248,49.248,50.76,50.76,50.976,50.976,48.384,48.384,48.6,48.6,46.872,46.872,63.72,63.72,67.608,67.608,66.744,66.744,63.72,63.72,65.232,65.232,63.288,63.288,66.096,66.096,64.368,64.368,62.856,62.856,61.992,61.992,61.776,61.776,30.888,30.888,20.952,20.952
10/24/2011,KW,20.736,20.736,19.656,19.656,18.144,18.144,18.36,18.36,20.304,20.304,19.44,19.44,18.144,18.144,17.928,17.928,17.712,17.712,19.872,19.872,17.712,17.712,17.928,17.928,18.144,18.144,19.872,19.872,56.16,56.16,41.688,41.688,40.176,40.176,40.824,40.824,47.304,47.304,46.224,46.224,45.576,45.576,46.008,46.008,42.336,42.336,47.52,47.52,46.656,46.656,48.816,48.816,47.304,47.304,48.6,48.6,48.168,48.168,48.384,48.384,46.656,46.656,47.952,47.952,48.384,48.384,47.736,47.736,50.544,50.544,66.744,66.744,68.904,68.904,66.528,66.528,66.528,66.528,65.448,65.448,66.096,66.096,67.824,67.824,66.096,66.096,65.664,65.664,63.936,63.936,61.344,61.344,41.472,41.472,21.168,21.168
10/25/2011,KW,18.576,18.576,18.36,18.36,19.656,19.656,18.144,18.144,21.168,21.168,19.872,19.872,17.928,17.928,18.36,18.36,18.36,18.36,19.656,19.656,17.064,17.064,17.928,17.928,17.928,17.928,19.656,19.656,58.968,58.968,58.32,58.32,60.696,60.696,62.208,62.208,54.432,54.432,48.816,48.816,48.6,48.6,45.576,45.576,44.28,44.28,49.464,49.464,45.792,45.792,46.872,46.872,48.384,48.384,49.248,49.248,45.792,45.792,49.032,49.032,52.056,52.056,50.76,50.76,52.056,52.056,69.984,69.984,69.552,69.552,73.656,73.656,70.416,70.416,68.904,68.904,66.96,66.96,66.744,66.744,68.472,68.472,69.552,69.552,71.496,71.496,68.04,68.04,63.288,63.288,62.64,62.64,36.288,36.288,22.464,22.464
10/26/2011,KW,22.032,22.032,21.6,21.6,21.6,21.6,19.44,19.44,22.032,22.032,20.304,20.304,19.008,19.008,19.008,19.008,19.656,19.656,20.304,20.304,18.576,18.576,19.224,19.224,19.872,19.872,20.952,20.952,55.512,55.512,59.832,59.832,62.208,62.208,61.344,61.344,62.64,62.64,67.824,67.824,53.352,53.352,56.16,56.16,58.752,58.752,63.936,63.936,56.592,56.592,66.312,66.312,64.368,64.368,63.072,63.072,50.76,50.76,62.424,62.424,62.856,62.856,61.344,61.344,62.208,62.208,64.152,64.152,63.288,63.288,65.016,65.016,66.096,66.096,64.584,64.584,62.424,62.424,61.128,61.128,63.72,63.72,65.448,65.448,64.152,64.152,62.856,62.856,58.104,58.104,57.456,57.456,30.24,30.24,16.848,16.848
10/27/2011,KW,16.848,16.848,15.984,15.984,16.2,16.2,16.416,16.416,19.008,19.008,17.496,17.496,16.2,16.2,15.984,15.984,16.2,16.2,17.712,17.712,16.2,16.2,16.416,16.416,17.064,17.064,19.008,19.008,55.728,55.728,57.888,57.888,57.24,57.24,44.712,44.712,40.392,40.392,39.96,39.96,42.12,42.12,40.608,40.608,39.744,39.744,43.848,43.848,42.984,42.984,44.712,44.712,41.904,41.904,44.064,44.064,43.416,43.416,44.712,44.712,43.632,43.632,43.416,43.416,59.184,59.184,56.16,56.16,47.736,47.736,66.312,66.312,68.688,68.688,68.256,68.256,65.448,65.448,64.368,64.368,66.528,66.528,66.96,66.96,65.664,65.664,63.72,63.72,61.776,61.776,48.168,48.168,19.008,19.008,18.576,18.576
10/28/2011,KW,18.576,18.576,18.36,18.36,18.36,18.36,18.792,18.792,20.736,20.736,19.224,19.224,18.36,18.36,18.576,18.576,17.928,17.928,19.224,19.224,17.712,17.712,18.36,18.36,19.44,19.44,23.112,23.112,59.616,59.616,49.032,49.032,41.04,41.04,39.96,39.96,40.824,40.824,40.608,40.608,42.336,42.336,41.904,41.904,44.064,44.064,44.28,44.28,44.712,44.712,46.872,46.872,45.36,45.36,45.144,45.144,46.224,46.224,46.008,46.008,45.576,45.576,44.928,44.928,46.656,46.656,56.376,56.376,65.88,65.88,65.88,65.88,67.824,67.824,67.392,67.392,65.88,65.88,67.176,67.176,66.096,66.096,67.392,67.392,65.664,65.664,66.096,66.096,60.912,60.912,59.616,59.616,40.176,40.176,20.52,20.52
10/29/2011,KW,18.792,18.792,17.928,17.928,18.36,18.36,18.576,18.576,20.304,20.304,19.224,19.224,18.792,18.792,17.928,17.928,17.712,17.712,18.792,18.792,17.712,17.712,18.36,18.36,18.576,18.576,22.032,22.032,21.816,21.816,23.976,23.976,38.016,38.016,38.448,38.448,39.96,39.96,39.744,39.744,42.768,42.768,44.064,44.064,41.688,41.688,43.632,43.632,43.632,43.632,44.928,44.928,44.928,44.928,46.008,46.008,44.712,44.712,44.712,44.712,46.008,46.008,45.792,45.792,46.224,46.224,45.36,45.36,50.76,50.76,65.664,65.664,65.88,65.88,64.368,64.368,63.072,63.072,62.208,62.208,63.072,63.072,64.8,64.8,63.936,63.936,62.208,62.208,62.208,62.208,60.912,60.912,59.4,59.4,28.728,28.728
